timestamp,prediction,prediction_lower,prediction_upper
2021-12-12,317.2902949108857,-171.03149284484437,730.4793060165537
2021-12-13,293.2899230028141,-137.66334959209394,735.0660488979047
2021-12-14,291.81910415995947,-122.06469972179144,769.2445324398994
2021-12-15,286.14953654066676,-157.9878319976754,711.7760384201418
2021-12-16,318.508464425763,-129.13310093370006,754.8634779538152
2021-12-17,287.88738602118053,-162.39048583024064,722.7755444555253
2021-12-18,315.8799570489298,-119.79431558026434,741.3243274611302
2021-12-19,344.1340315077982,-123.23921680039415,773.7940471650269
2021-12-20,306.8984998411822,-129.60719680512935,752.0255457938102
2021-12-21,291.8020130662638,-162.28671464187497,727.3029098545528
