timestamp,prediction,prediction_lower,prediction_upper
2021-02-25,441.36783963947204,-12.302473912508606,899.381649245256
2021-02-26,419.0529521130843,-13.580983858018845,807.1878405375126
2021-02-27,457.5062911006208,59.196583728567084,888.3849440146283
2021-02-28,498.10132976430407,52.31691340811154,919.5401057997979
2021-03-01,474.7626104943895,64.98284300823788,931.3129654007253
2021-03-02,474.7512710845016,9.860525118675417,920.7662193635066
2021-03-03,471.21826038839555,54.626456958191206,908.5372887704227
2021-03-04,506.2503843993594,81.08744514837525,946.5061414020163
2021-03-05,478.6818732448623,39.671441846825715,908.9488231001811
2021-03-06,509.9354486342755,48.755465107718805,951.9436887687526
2021-03-07,541.4777750805192,128.98652199103026,987.8228377278093
2021-03-08,507.3698933136184,91.44833161774335,951.2975216573999
2021-03-09,495.04965991080445,59.006380109860444,921.8993346320636
2021-03-10,477.8809523800987,36.465046119459224,917.6743178524163
2021-03-11,498.1948812264636,59.765870745443344,913.8696126484093
2021-03-12,455.0958190305628,18.271091083283565,879.0408790797946
2021-03-13,470.2963615093132,23.03627460319006,920.6595068699315
2021-03-14,485.5662517760773,79.88963801466927,924.307895014986
2021-03-15,435.2760228797835,-13.716680949740852,854.6561045716834
2021-03-16,407.1725441872703,-70.26682648667466,847.1474780107278
2021-03-17,374.92139329968705,-69.14631421203543,797.047788978726
2021-03-18,381.1414544435858,-85.70016687070259,801.2660245190283
2021-03-19,325.2047059025677,-127.53116149894129,752.2115919459533
2021-03-20,329.0654534921531,-101.7300520503629,760.2574229551087
2021-03-21,334.7041694903543,-104.59331856983921,801.478182441351
2021-03-22,276.6668035155551,-137.19944360808057,727.3051360177182
2021-03-23,242.83684302978418,-191.17086312343267,666.5471856416412
2021-03-24,206.97511598459334,-236.6027025230875,637.3252815388815
2021-03-25,211.75278462088204,-253.7486537675732,630.9430499355351
2021-03-26,156.5505174494524,-285.68804337183013,597.9147164801609
2021-03-27,163.28809696502105,-269.75184860641366,627.0604578532794
2021-03-28,173.86959947586664,-263.7239055420273,576.2220796881505
2021-03-29,122.72496780728935,-341.1864667047329,576.0942288432283
2021-03-30,97.58518756753101,-348.507950376991,540.138415419628
2021-03-31,72.02597318590206,-356.75283910495517,496.6342907735374
2021-04-01,88.50530950342453,-360.1595377422042,526.2457727495356
2021-04-02,46.16771856182664,-385.1901803239755,486.05612697849267
2021-04-03,66.67938069780746,-358.25920224462413,524.1069800582522
2021-04-04,91.67911012230516,-313.48165718235845,525.2163719585292
2021-04-05,55.32586523196279,-362.1149119084533,461.7790800442576
2021-04-06,45.07986302596484,-405.59481706998804,477.2827903464509
2021-04-07,34.252065174534856,-387.9847389150834,483.35795216005437
2021-04-08,65.04724885737711,-395.5494041287796,498.35513182026085
2021-04-09,36.373408476184345,-390.73147566327884,442.56734847621715
2021-04-10,69.6815057924617,-348.0280502096441,495.625654530008
2021-04-11,106.42047159103521,-306.9386909822539,523.2723133257522
2021-04-12,80.58805862386302,-358.27312810838197,496.12481032499596
2021-04-13,79.5145529316011,-358.7486330799033,531.3785019129197
2021-04-14,76.41406820719544,-330.16646368085435,505.89463943721927
2021-04-15,113.4286134706373,-324.52911322525773,533.6269680115204
2021-04-16,89.43767749632094,-333.6497875029285,534.212281603305
2021-04-17,125.8973646917141,-339.9073165459243,539.340108691645
2021-04-18,164.29402163903933,-274.95448198264035,624.938447819231
2021-04-19,138.69300780877566,-272.598912568065,597.1682038737714
2021-04-20,136.51968721718924,-287.44190462334245,585.3819996941668
2021-04-21,131.10744919250783,-287.01104772221044,552.8965970821995
2021-04-22,164.73804345037016,-266.7804216615209,614.0150144356945
2021-04-23,136.4470766504145,-259.3287507676773,569.8798295466461
2021-04-24,167.85881486655234,-277.41661756972,598.2598725507734
2021-04-25,200.63534403556972,-224.7908468660254,607.3781205454524
2021-04-26,169.0208549603808,-268.0957412381004,610.4497716317658
2021-04-27,160.61824009182683,-279.83275009194233,609.2116587456047
2021-04-28,148.9329153688428,-293.1840275939149,602.422492532395
2021-04-29,176.40924959863696,-249.23168327276,590.037879930166
2021-04-30,142.23253573511832,-284.9760386079332,592.8006571315627
2021-05-01,168.16072364320894,-266.4198780872132,583.5291992956952
2021-05-02,195.9710279442183,-263.8318586639738,617.2400128863202
2021-05-03,160.00222422988054,-302.90428837623665,591.2069802447448
2021-05-04,147.9298519561677,-300.88338672331133,581.3697423737087
2021-05-05,133.30925239441314,-282.71332049856085,572.2149736705195
2021-05-06,158.61182327014413,-279.6146247037748,596.2773467140751
2021-05-07,123.0274080991224,-290.81328225634,546.8982982213663
2021-05-08,148.2970088068539,-263.8278626734441,594.266541561766
2021-05-09,176.16089076327447,-220.74988371437098,618.1201220627388
2021-05-10,140.9028371108457,-279.13996663676676,589.7357382333691
2021-05-11,130.1277041265556,-331.1861771257354,541.3522992156718
2021-05-12,117.30713125837889,-329.5244585021669,537.0488861579094
2021-05-13,144.81870672332485,-282.7995314770775,617.0532173854764
2021-05-14,111.75142219361908,-324.95386757252885,542.061356183982
2021-05-15,139.74151921924815,-287.4069130018984,547.4332308233704
2021-05-16,170.42371141065124,-266.5409693834397,590.6581775143599
2021-05-17,137.97845717421117,-291.91150183231855,580.3256472115153
2021-05-18,129.91235772500877,-335.14788008993827,570.7232910812281
2021-05-19,119.60646395861136,-310.80889835544036,574.6648486393747
2021-05-20,149.35773159001684,-288.08538888898755,572.3480168830107
2021-05-21,118.18640656921878,-324.47110708239404,555.7367950479905
2021-05-22,147.67340293665785,-292.04498222179086,601.3769601439852
