datetime,power,global_radiation,temperature,Year,Month,Day,date
5/15/20 12:45,2.142,1039.39,19.80,2020,5,15,5/15/2020
8/13/19 13:30,2.141,995.043,24.40,2019,8,13,8/13/2019
7/15/20 13:15,2.141,1056.677,25.15,2020,7,15,7/15/2020
5/27/20 12:45,2.14,1053.617,26.05,2020,5,27,5/27/2020
5/6/20 13:45,2.139,1053.626,20.30,2020,5,6,5/6/2020
5/12/20 14:00,2.138,1081.701,18.10,2020,5,12,5/12/2020
5/12/20 14:15,2.138,1062.94,18.40,2020,5,12,5/12/2020
5/15/19 12:15,2.137,1017.101,17.50,2019,5,15,5/15/2019
5/6/20 12:45,2.137,1028.897,20.20,2020,5,6,5/6/2020
5/28/20 13:00,2.137,1054.35,24.70,2020,5,28,5/28/2020
6/22/20 13:30,2.136,1073.51,26.95,2020,6,22,6/22/2020
5/17/20 12:45,2.135,1038.52,21.50,2020,5,17,5/17/2020
5/17/20 13:45,2.135,1061.1,23.40,2020,5,17,5/17/2020
6/6/20 14:00,2.135,1097.7,18.40,2020,6,6,6/6/2020
7/2/19 13:30,2.133,1055.22,28.15,2019,7,2,7/2/2019
5/15/20 13:45,2.132,1059.046,20.00,2020,5,15,5/15/2020
5/16/19 14:45,2.131,1044.158,20.60,2019,5,16,5/16/2019
5/16/20 13:00,2.13,1045.65,22.90,2020,5,16,5/16/2020
5/31/20 14:00,2.13,1066.27,24.15,2020,5,31,5/31/2020
7/17/20 14:30,2.13,1098.308,28.00,2020,7,17,7/17/2020
7/22/20 14:00,2.13,1040.987,30.05,2020,7,22,7/22/2020
8/17/20 14:30,2.13,1067.695,29.15,2020,8,17,8/17/2020
8/20/20 13:15,2.13,1060.372,34.40,2020,8,20,8/20/2020
7/7/19 12:30,2.129,1075.922,22.90,2019,7,7,7/7/2019
7/12/20 14:15,2.129,1038.443,28.65,2020,7,12,7/12/2020
8/13/19 12:45,2.128,1026.794,22.75,2019,8,13,8/13/2019
5/31/20 14:15,2.128,1071.693,24.60,2020,5,31,5/31/2020
6/8/20 15:00,2.128,1113.803,23.95,2020,6,8,6/8/2020
6/21/19 12:45,2.127,1024.214,27.65,2019,6,21,6/21/2019
6/21/20 13:15,2.127,950.082,28.85,2020,6,21,6/21/2020
5/16/20 13:15,2.126,1045.65,21.95,2020,5,16,5/16/2020
5/28/20 12:45,2.125,1040.173,23.95,2020,5,28,5/28/2020
7/11/20 11:45,2.125,1050.33,24.90,2020,7,11,7/11/2020
7/9/20 14:30,2.124,1066.682,31.30,2020,7,9,7/9/2020
5/6/19 11:30,2.122,1094.604,16.15,2019,5,6,5/6/2019
5/15/20 14:00,2.121,1057.4,20.75,2020,5,15,5/15/2020
5/16/20 13:30,2.121,1045.65,22.50,2020,5,16,5/16/2020
6/1/20 13:30,2.121,1060.925,28.60,2020,6,1,6/1/2020
5/15/20 12:30,2.12,1024.195,19.20,2020,5,15,5/15/2020
5/28/20 14:00,2.12,1060.58,25.10,2020,5,28,5/28/2020
7/12/20 13:30,2.12,1056.683,28.05,2020,7,12,7/12/2020
7/3/19 13:15,2.118,1043.84,27.05,2019,7,3,7/3/2019
7/3/19 13:30,2.118,1047.472,27.05,2019,7,3,7/3/2019
9/2/19 13:45,2.118,891.174,25.10,2019,9,2,9/2/2019
5/16/20 12:45,2.118,1036.974,22.25,2020,5,16,5/16/2020
7/23/20 13:00,2.118,1029.574,29.00,2020,7,23,7/23/2020
8/15/20 14:00,2.118,1026.539,32.05,2020,8,15,8/15/2020
5/14/19 12:00,2.117,998.749,17.25,2019,5,14,5/14/2019
7/2/19 13:45,2.117,1062.403,27.80,2019,7,2,7/2/2019
5/6/20 14:00,2.116,1052.623,20.05,2020,5,6,5/6/2020
5/19/20 13:15,2.116,900.76,28.75,2020,5,19,5/19/2020
5/15/19 14:30,2.115,1045.561,19.00,2019,5,15,5/15/2019
7/3/19 13:45,2.115,1044.95,27.25,2019,7,3,7/3/2019
5/17/20 12:30,2.114,1022.858,21.20,2020,5,17,5/17/2020
5/18/20 13:15,2.114,1023.339,27.05,2020,5,18,5/18/2020
6/25/20 14:15,2.114,1050.166,32.45,2020,6,25,6/25/2020
5/24/19 12:45,2.113,1040.607,28.50,2019,5,24,5/24/2019
7/31/19 13:00,2.113,1047.67,27.85,2019,7,31,7/31/2019
7/3/19 13:00,2.112,1035.999,27.35,2019,7,3,7/3/2019
5/6/20 12:30,2.112,1017.027,19.45,2020,5,6,5/6/2020
5/16/20 13:45,2.112,1045.65,23.10,2020,5,16,5/16/2020
6/1/20 13:45,2.112,1059.136,29.15,2020,6,1,6/1/2020
8/4/20 13:00,2.112,1017.707,25.85,2020,8,4,8/4/2020
5/20/20 12:45,2.11,1027.507,28.60,2020,5,20,5/20/2020
5/27/20 12:00,2.11,1003.841,25.30,2020,5,27,5/27/2020
