datetime,power,Wind_Speed
2019-02-13,-0.0030000000000000014,1.220260869565217
2019-02-14,16.22455025,2.21875
2019-02-15,11.045622864583319,2.7287604166666664
2019-02-16,31.48477508333333,3.35925
2019-02-17,140.2849370625,4.7117708333333335
2019-02-18,224.743,5.8845520833333325
2019-02-19,140.41682263541668,4.851552083333334
2019-02-20,39.997522552083325,3.598666666666666
2019-02-21,59.75500957291666,3.8249999999999997
2019-02-22,48.97541551041665,3.5087812500000006
2019-02-23,186.59788529166664,5.0332291666666675
2019-02-24,337.9993948958335,6.088374999999999
2019-02-25,257.7113225729167,5.495135416666668
2019-02-26,146.71880631250005,4.724177083333333
2019-02-27,40.72555020833332,2.910416666666665
2019-02-28,318.41378125,6.248499999999999
2019-03-01,221.16964580208335,5.713510416666668
2019-03-02,245.04769005208334,5.6410833333333334
2019-03-03,923.79784375,9.723364583333336
2019-03-04,988.6924062187501,10.692791666666666
2019-03-05,549.3799583333333,7.583364583333334
2019-03-06,716.8726770833334,8.551989583333333
2019-03-07,1181.7605104166666,11.499
2019-03-08,617.01053125,7.878395833333337
2019-03-09,990.5640520833334,10.362510416666664
2019-03-10,464.1901135833338,10.978239583333334
2019-03-11,612.7647078958335,9.047802083333334
2019-03-12,930.72740625,9.841708333333335
2019-03-13,883.5186354166666,9.66335416666667
2019-03-14,843.82403125,9.282291666666667
2019-03-15,856.084,9.774302083333332
2019-03-16,1086.8521875,10.644208333333337
2019-03-17,752.0133645833333,8.622802083333331
2019-03-18,181.82655180208346,5.158333333333334
2019-03-19,17.77330045833332,2.541781250000001
2019-03-20,7.372262229166646,2.1939791666666655
2019-03-21,67.59516113541666,3.907520833333333
2019-03-22,67.32102533333344,3.9540520833333335
2019-03-23,119.13785128125,3.981249999999998
2019-03-24,216.4845509479167,5.598260416666666
2019-03-25,564.7670833333334,7.678937499999999
2019-03-26,131.11481218750004,4.822687500000002
2019-03-27,20.866706364583337,2.7592604166666663
2019-03-28,116.08143641666666,4.570864583333335
2019-03-29,146.67077173958333,4.979083333333334
2019-03-30,62.72485344791675,3.912614583333335
2019-03-31,240.5831968541667,4.879489583333331
2019-04-01,286.64446933333335,5.949302083333335
2019-04-02,371.8298014375,6.3594895833333345
2019-04-03,138.06045802083332,4.842479166666666
2019-04-04,18.74843499999998,2.2709479166666666
2019-04-05,49.404233406250015,3.3158750000000006
2019-04-06,31.541157520833327,3.346291666666667
2019-04-07,57.977839427083346,3.6299791666666663
2019-04-08,13.033414291666666,2.5238437500000006
2019-04-09,4.6362057708333335,1.9643541666666664
2019-04-10,259.98526035416666,6.161916666666666
2019-04-11,308.8630729166667,6.356020833333332
2019-04-12,343.86217708333334,6.55815625
2019-04-13,181.20171875,5.372218750000002
2019-04-14,92.6263534375,4.359604166666665
2019-04-15,147.80060397916668,4.971875
2019-04-16,295.20045830208335,6.305791666666669
2019-04-17,94.72967655208342,4.329114583333333
2019-04-18,336.8630729166667,6.502083333333331
2019-04-19,246.10039115625005,5.8820625
2019-04-20,225.44883327083338,5.889124999999999
2019-04-21,216.94539577083336,5.843406249999998
2019-04-22,284.9407291666667,6.379281249999999
2019-04-23,278.7521873437501,5.998354166666669
2019-04-24,457.1633597708333,7.151270833333332
2019-04-25,631.2588229166666,8.154625000000001
2019-04-26,87.15581779166666,4.365395833333333
2019-04-27,423.7691875,7.262385416666664
2019-04-28,116.11691616666658,4.464583333333333
2019-04-29,66.94002940625,3.0849583333333324
2019-04-30,127.57191641666671,5.111343750000001
2019-05-01,34.95242146874998,2.8471041666666665
2019-05-02,89.09428015625,4.036458333333334
2019-05-03,76.38656762500004,4.221177083333333
2019-05-04,238.27509359375,5.68020833333333
2019-05-05,203.07324811458332,5.414124999999999
2019-05-06,44.25577993750002,3.4660833333333314
2019-05-07,6.9490519999999965,2.6725729166666667
2019-05-08,459.71215625,7.171062500000001
2019-05-09,287.1942184375001,5.906354166666666
2019-05-10,161.14088628124992,5.074999999999998
2019-05-11,236.52840621875004,5.822687499999997
2019-05-12,282.7052395833333,6.2605312500000005
2019-05-13,416.9174375,7.057875
2019-05-14,365.25946875,6.749072916666663
2019-05-15,296.28578125,6.611458333333345
2019-05-16,296.186,6.600000000000012
2019-05-17,296.186,6.600000000000012
2019-05-18,296.186,6.600000000000012
2019-05-19,296.186,6.600000000000012
2019-05-20,296.186,6.600000000000012
2019-05-21,296.186,6.600000000000012
2019-05-22,296.186,6.600000000000012
2019-05-23,296.186,6.600000000000012
2019-05-24,296.186,6.600000000000012
2019-05-25,296.186,6.600000000000012
2019-05-26,296.186,6.600000000000012
2019-05-27,296.186,6.600000000000012
2019-05-28,296.186,6.600000000000012
2019-05-29,296.186,6.600000000000012
2019-05-30,296.186,6.600000000000012
2019-05-31,296.186,6.600000000000012
2019-06-01,296.186,6.600000000000012
2019-06-02,296.186,6.600000000000012
2019-06-03,296.186,6.600000000000012
2019-06-04,296.186,6.600000000000012
2019-06-05,296.186,6.600000000000012
2019-06-06,296.186,6.600000000000012
2019-06-07,296.186,6.600000000000012
2019-06-08,296.186,6.600000000000012
2019-06-09,296.186,6.600000000000012
2019-06-10,296.186,6.600000000000012
2019-06-11,296.186,6.600000000000012
2019-06-12,296.186,6.600000000000012
2019-06-13,296.186,6.600000000000012
2019-06-14,296.186,6.600000000000012
2019-06-15,296.186,6.600000000000012
2019-06-16,296.186,6.600000000000012
2019-06-17,296.186,6.600000000000012
2019-06-18,296.186,6.600000000000012
2019-06-19,296.186,6.600000000000012
2019-06-20,296.186,6.600000000000012
2019-06-21,296.186,6.600000000000012
